地名,センター,焼却,プラ,ペットボトル類,缶類,びん,破砕,陶器,新聞・広告,雑誌・雑紙,段ボール
志津A 青地町1から500番地、1500から1600番地台,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津A 青地町（上記以外）,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津A 岡本町2番地、山手幹線より山側,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津A 馬場町,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津A 山寺町,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津A 若草一から八丁目,クリーンセンター,火 金,水1 水3 水5:3 6 8,月4,木3,月3,月1,木2,月2,木1,木4
志津B 青地町700から1300番地,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 青地町（上記以外）,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分一から三丁目f（ルネス・アンは草津B）,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分四丁目2から3番地、9から12番地,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分四丁目8番地、13から14番地,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分五から七丁目,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分八丁目1から5番地、9から16番地,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分八丁目6番地、8番地,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分南一丁目,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分南二丁目ライラック、1番、3番、5から14番、23から25番、22番の一部,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 追分南三から九丁目,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 岡本町,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 東草津三丁目13番,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 東草津四丁目,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
志津B 若草一から八丁目ビアンクール,クリーンセンター,火 金,水1 水3 水5:3 6 8,木4,木1,月1,月2,木3,月4,月3,木2
草津A 草津一から四丁目,クリーンセンター,月 木,金1 金3 金5:3 6 8,水4,火3,火4,火2,水3,水1,火1,水2
草津A 草津町グリーンピア、草津団地、六ノ坪団地、ベルヴィタウンなど,クリーンセンター,月 木,金1 金3 金5:3 6 8,水4,火3,火4,火2,水3,水1,火1,水2
草津A 西草津一から二丁目,クリーンセンター,月 木,金1 金3 金5:3 6 8,水4,火3,火4,火2,水3,水1,火1,水2
草津A 矢倉一から二丁目7番8〜20号（メゾン久保除く）,クリーンセンター,月 木,金1 金3 金5:3 6 8,水4,火3,火4,火2,水3,水1,火1,水2
草津B 追分一から三丁目ルネス・アン,クリーンセンター,月 木,水1 水3 水5:3 6 8,火2,金2,火1,火4,金1,金4,金3,火3
草津B 東草津一から二丁目,クリーンセンター,月 木,水1 水3 水5:3 6 8,火2,金2,火1,火4,金1,金4,金3,火3
草津B 東草津三丁目,クリーンセンター,月 木,水1 水3 水5:3 6 8,火2,金2,火1,火4,金1,金4,金3,火3
